date,dailySteps,season,month,day,double
8/22/2019,13219,summer,8,Thursday,TRUE
8/23/2019,14200,summer,8,Friday,TRUE
8/24/2019,14492,summer,8,Saturday,TRUE
8/25/2019,15642,summer,8,Sunday,TRUE
8/26/2019,11707,summer,8,Monday,TRUE
8/27/2019,13951,summer,8,Tuesday,TRUE
8/28/2019,9866,summer,8,Wednesday,TRUE
8/29/2019,6318,summer,8,Thursday,TRUE
8/30/2019,8095,summer,8,Friday,TRUE
8/31/2019,12453,summer,8,Saturday,
9/2/2019,9075,fall,9,Monday,TRUE
9/3/2019,9594,fall,9,Tuesday,TRUE
9/4/2019,11008,fall,9,Wednesday,TRUE
9/5/2019,7021,fall,9,Thursday,TRUE
9/6/2019,20505,fall,9,Friday,TRUE
9/7/2019,8716,fall,9,Saturday,TRUE
9/8/2019,6692,fall,9,Sunday,TRUE
9/9/2019,10437,fall,9,Monday,TRUE
9/10/2019,12867,fall,9,Tuesday,TRUE
9/11/2019,8281,fall,9,Wednesday,TRUE
9/12/2019,6895,fall,9,Thursday,TRUE
9/13/2019,10048,fall,9,Friday,TRUE
9/14/2019,13359,fall,9,Saturday,
9/16/2019,9391,fall,9,Monday,
9/18/2019,6096,fall,9,Wednesday,
9/20/2019,6973,fall,9,Friday,
9/23/2019,10454,fall,9,Monday,TRUE
9/24/2019,14792,fall,9,Tuesday,TRUE
9/25/2019,21816,fall,9,Wednesday,TRUE
9/26/2019,6065,fall,9,Thursday,TRUE
9/27/2019,7349,fall,9,Friday,TRUE
9/28/2019,7934,fall,9,Saturday,TRUE
9/29/2019,10239,fall,9,Sunday,TRUE
9/30/2019,7354,fall,9,Monday,TRUE
10/1/2019,10112,fall,10,Tuesday,TRUE
10/2/2019,8426,fall,10,Wednesday,TRUE
10/3/2019,7143,fall,10,Thursday,TRUE
10/4/2019,7904,fall,10,Friday,
10/6/2019,6327,fall,10,Sunday,TRUE
10/7/2019,6461,fall,10,Monday,TRUE
10/8/2019,15140,fall,10,Tuesday,TRUE
10/9/2019,9712,fall,10,Wednesday,TRUE
10/10/2019,7721,fall,10,Thursday,TRUE
10/11/2019,8064,fall,10,Friday,TRUE
10/12/2019,25231,fall,10,Saturday,TRUE
10/13/2019,8487,fall,10,Sunday,TRUE
10/14/2019,9385,fall,10,Monday,TRUE
10/15/2019,6829,fall,10,Tuesday,TRUE
10/16/2019,7549,fall,10,Wednesday,TRUE
10/17/2019,7250,fall,10,Thursday,TRUE
10/18/2019,9190,fall,10,Friday,TRUE
10/19/2019,8015,fall,10,Saturday,
10/21/2019,6220,fall,10,Monday,
10/23/2019,6973,fall,10,Wednesday,TRUE
10/24/2019,6314,fall,10,Thursday,TRUE
10/25/2019,7980,fall,10,Friday,TRUE
10/26/2019,5600,fall,10,Saturday,
10/28/2019,6458,fall,10,Monday,TRUE
10/29/2019,11176,fall,10,Tuesday,TRUE
10/30/2019,11707,fall,10,Wednesday,TRUE
10/31/2019,12044,fall,10,Thursday,TRUE
11/1/2019,5972,fall,11,Friday,TRUE
11/2/2019,6281,fall,11,Saturday,TRUE
11/3/2019,8948,fall,11,Sunday,TRUE
11/4/2019,8685,fall,11,Monday,
11/6/2019,8544,fall,11,Wednesday,TRUE
11/7/2019,6693,fall,11,Thursday,TRUE
11/8/2019,14517,fall,11,Friday,
11/11/2019,6715,fall,11,Monday,TRUE
11/12/2019,8587,fall,11,Tuesday,TRUE
11/13/2019,9132,fall,11,Wednesday,TRUE
11/14/2019,6748,fall,11,Thursday,TRUE
11/15/2019,5512,fall,11,Friday,TRUE
11/16/2019,7598,fall,11,Saturday,TRUE
11/17/2019,7939,fall,11,Sunday,TRUE
11/18/2019,6650,fall,11,Monday,TRUE
11/19/2019,6371,fall,11,Tuesday,TRUE
11/20/2019,11449,fall,11,Wednesday,TRUE
11/21/2019,6239,fall,11,Thursday,TRUE
11/22/2019,10734,fall,11,Friday,TRUE
11/23/2019,6179,fall,11,Saturday,
11/25/2019,7820,fall,11,Monday,TRUE
11/26/2019,12890,fall,11,Tuesday,
11/30/2019,6845,fall,11,Saturday,TRUE
12/1/2019,6626,winter,12,Sunday,
12/4/2019,12028,winter,12,Wednesday,TRUE
12/5/2019,6974,winter,12,Thursday,TRUE
12/6/2019,7197,winter,12,Friday,TRUE
12/7/2019,5524,winter,12,Saturday,
12/9/2019,7191,winter,12,Monday,TRUE
12/10/2019,9680,winter,12,Tuesday,TRUE
12/11/2019,9424,winter,12,Wednesday,TRUE
12/12/2019,5513,winter,12,Thursday,
12/15/2019,5876,winter,12,Sunday,TRUE
12/16/2019,7429,winter,12,Monday,
12/18/2019,5618,winter,12,Wednesday,TRUE
12/19/2019,8236,winter,12,Thursday,
12/30/2019,10423,winter,12,Monday,TRUE
12/31/2019,13015,winter,12,Tuesday,
1/2/2020,9979,winter,1,Thursday,TRUE
1/3/2020,9107,winter,1,Friday,
1/12/2020,7322,winter,1,Sunday,TRUE
