Day,DailySteps
5/20/2020,6463
5/21/2020,8287
5/22/2020,9192
5/23/2020,7773
5/24/2020,9260
5/25/2020,7438
5/26/2020,8884
5/27/2020,8972
5/28/2020,7609
5/29/2020,8554
5/30/2020,1743
5/31/2020,4208
6/1/2020,1437
6/2/2020,7052
6/3/2020,2128
6/4/2020,4992
6/5/2020,7146
6/6/2020,7410
6/7/2020,6206
6/8/2020,6340
6/9/2020,5398
6/10/2020,3419
6/11/2020,5196
6/12/2020,963
6/13/2020,7329
6/14/2020,6831
6/15/2020,1717
6/16/2020,7033
6/17/2020,2356
6/18/2020,7585
6/19/2020,2370
6/20/2020,9590
6/21/2020,3713
6/22/2020,5509
6/23/2020,12843
6/24/2020,6000
6/25/2020,10394
6/26/2020,10856
6/27/2020,5413
6/28/2020,8332
6/29/2020,9823
6/30/2020,10313
7/1/2020,5020
7/2/2020,12389
7/3/2020,5930
7/4/2020,10226
7/5/2020,8551
7/6/2020,4322
7/7/2020,11511
7/8/2020,6034
7/9/2020,5733
7/10/2020,7187
7/11/2020,7522
7/12/2020,8445
7/13/2020,4647
7/14/2020,10407
7/15/2020,4107
7/16/2020,10268
7/17/2020,7671
7/18/2020,10106
7/19/2020,8946
7/20/2020,5964
7/21/2020,10254
7/22/2020,12412
7/23/2020,14746
7/24/2020,6059
7/25/2020,8299
7/26/2020,13055
7/27/2020,4736
7/28/2020,12272
7/29/2020,8635
7/30/2020,9326
7/31/2020,314
8/1/2020,99
8/2/2020,1990
8/3/2020,2376
8/4/2020,11332
8/5/2020,5724
8/6/2020,10500
8/7/2020,6666
8/8/2020,9106
8/9/2020,8859
8/10/2020,3594
8/11/2020,16790
8/12/2020,6897
8/13/2020,17372
8/14/2020,4218
8/15/2020,12707
8/16/2020,15684
8/17/2020,8837
8/18/2020,5183
8/19/2020,5191
8/20/2020,8596
8/21/2020,9808
8/22/2020,11144
8/23/2020,11478
8/24/2020,7179
8/25/2020,13605
8/26/2020,11582
8/27/2020,5016
8/28/2020,7948
8/29/2020,8958
8/30/2020,13675
8/31/2020,6296
9/1/2020,10881
9/2/2020,3601
9/3/2020,4838
9/4/2020,5015
9/5/2020,13332
9/6/2020,9973
9/7/2020,864
9/8/2020,1706
9/9/2020,250
9/10/2020,3507
9/11/2020,5206
9/12/2020,10783
9/13/2020,11735
9/14/2020,6506
9/15/2020,13975
9/16/2020,3564
9/17/2020,6251
9/18/2020,6805
9/19/2020,8373
9/20/2020,1496
9/21/2020,4217
9/22/2020,15688
9/23/2020,3088
9/24/2020,3579
9/25/2020,3468
9/26/2020,4164
9/27/2020,11006
9/28/2020,7356
9/29/2020,10638
9/30/2020,4328
10/1/2020,1059
10/2/2020,4373
10/3/2020,19457
10/4/2020,8950
10/5/2020,13053
10/6/2020,3475
10/7/2020,4318
10/8/2020,512
10/9/2020,1392
10/10/2020,1078
10/11/2020,2538
10/12/2020,2314
10/13/2020,1462
10/14/2020,3329
10/15/2020,5597
10/16/2020,3770
10/17/2020,9297
10/18/2020,11621
10/19/2020,6075
10/20/2020,11824
10/21/2020,3342
10/22/2020,4698
10/23/2020,5584
10/24/2020,15080
10/25/2020,12322
10/26/2020,1865
10/27/2020,643
10/28/2020,110
10/29/2020,219
10/30/2020,65
10/31/2020,51
11/1/2020,177
11/2/2020,126
11/3/2020,35
11/4/2020,82
11/5/2020,37
11/6/2020,2458
11/7/2020,10922
11/8/2020,12799
11/9/2020,4461
11/10/2020,7888
11/11/2020,7614
11/12/2020,4234
11/13/2020,5529
11/14/2020,8979
11/15/2020,11124
11/16/2020,3854
11/17/2020,11002
11/18/2020,6085
11/19/2020,6011
11/20/2020,8813
11/21/2020,10194
11/22/2020,9192
11/23/2020,8384
11/24/2020,2629
11/25/2020,2958
11/26/2020,910
11/27/2020,11322
11/28/2020,9889
11/29/2020,2212
11/30/2020,1347
12/1/2020,1382
12/2/2020,3797
12/3/2020,2044
12/4/2020,1187
12/5/2020,6391
12/6/2020,6259
12/7/2020,659
12/8/2020,1019
12/9/2020,4223
12/10/2020,2583
12/11/2020,4915
12/12/2020,10547
12/13/2020,8749
12/14/2020,13656
12/15/2020,3153
12/16/2020,10499
12/17/2020,11013
12/18/2020,1879
12/19/2020,9500
12/20/2020,9359
12/21/2020,1453
12/22/2020,8539
12/23/2020,1689
12/24/2020,1132
12/25/2020,2837
12/26/2020,6028
12/27/2020,7040
12/28/2020,9040
12/29/2020,6905
12/30/2020,9021
12/31/2020,2115
1/1/2021,5583
1/2/2021,5617
1/3/2021,13309
1/4/2021,3522
1/5/2021,864
1/6/2021,6040
1/7/2021,2988
1/8/2021,3056
1/9/2021,6317
1/10/2021,5112
1/11/2021,7007
1/12/2021,589
1/13/2021,1949
1/14/2021,4510
1/15/2021,4547
1/16/2021,2656
1/17/2021,4377
1/18/2021,2474
1/19/2021,3929
1/20/2021,5395
1/21/2021,3274
1/22/2021,3909
1/23/2021,2089
1/24/2021,2571
1/25/2021,922
1/26/2021,2218
1/27/2021,4832
1/28/2021,5883
1/29/2021,4709
1/30/2021,4711
1/31/2021,5621
2/1/2021,2913
2/2/2021,1397
2/3/2021,2890
2/4/2021,2949
2/5/2021,3537
2/6/2021,1571
2/7/2021,3019
2/8/2021,3462
2/9/2021,2841
2/10/2021,3559
2/11/2021,3822
2/12/2021,2849
2/13/2021,1071
2/14/2021,2128
2/15/2021,1011
2/16/2021,2670
2/17/2021,3061
2/18/2021,4384
2/19/2021,5722
2/20/2021,11900
2/21/2021,2344
2/22/2021,2399
2/23/2021,3094
2/24/2021,4937
2/25/2021,4565
2/26/2021,4563
2/27/2021,603
2/28/2021,453
3/1/2021,155
3/2/2021,156
3/3/2021,173
3/4/2021,995
3/5/2021,291
3/6/2021,4710
3/7/2021,16
3/8/2021,2016
3/9/2021,2191
3/10/2021,3820
3/11/2021,5127
3/12/2021,5065
3/13/2021,2239
3/14/2021,2515
3/15/2021,3395
3/16/2021,3411
3/17/2021,3829
3/18/2021,2748
3/19/2021,3465
3/20/2021,3452
3/21/2021,2359
3/22/2021,3613
3/23/2021,3317
3/24/2021,2717
3/25/2021,1661
3/26/2021,3004
3/27/2021,4531
3/28/2021,1978
3/29/2021,3711
3/30/2021,4664
3/31/2021,2076
4/1/2021,3769
4/2/2021,1568
4/3/2021,1684
4/4/2021,3826
4/5/2021,2009
4/6/2021,2868
4/7/2021,2504
4/8/2021,2308
4/9/2021,3508
4/10/2021,5292
4/11/2021,3577
4/12/2021,3581
4/13/2021,2978
4/14/2021,5783
4/15/2021,3261
4/16/2021,2389
4/17/2021,3302
4/18/2021,1947
4/19/2021,2880
4/20/2021,4678
4/21/2021,6148
4/22/2021,3946
4/23/2021,2711
4/24/2021,3626
4/25/2021,4597
4/26/2021,6623
4/27/2021,5281
4/28/2021,4121
4/29/2021,3520
4/30/2021,4266
5/1/2021,2649
5/2/2021,2379
5/3/2021,3501
5/4/2021,1573
5/5/2021,7365
5/6/2021,9058
5/7/2021,10062
5/8/2021,12803
5/9/2021,6551
5/10/2021,7379
5/11/2021,8668
5/12/2021,5100
5/13/2021,4252
5/14/2021,12116
5/15/2021,11914
5/16/2021,7845
5/17/2021,9510
5/18/2021,10550
5/19/2021,2725
5/20/2021,7612
5/21/2021,10353
5/22/2021,12061
5/23/2021,10095
5/24/2021,9336
5/25/2021,7683
5/26/2021,4423
5/27/2021,8797
5/28/2021,10178
5/29/2021,11292
5/30/2021,11090
5/31/2021,11461
6/1/2021,13749
6/2/2021,1114
6/3/2021,2957
6/4/2021,3640
6/5/2021,8729
6/6/2021,13268
6/7/2021,2567
6/8/2021,7392
6/9/2021,13647
6/10/2021,10459
6/11/2021,4270
6/12/2021,8953
6/13/2021,9347
6/14/2021,2739
6/15/2021,6180
6/16/2021,3544
6/17/2021,12155
6/18/2021,9701
6/19/2021,9007
6/20/2021,9681
6/21/2021,6746
6/22/2021,13498
6/23/2021,7288
6/24/2021,4594
6/25/2021,11201
6/26/2021,9539
6/27/2021,6317
6/28/2021,12610
6/29/2021,16150
6/30/2021,5424
7/1/2021,5926
7/2/2021,10196
7/3/2021,9553
7/4/2021,8917
7/5/2021,9511
7/6/2021,124
7/7/2021,584
7/8/2021,493
7/9/2021,727
7/10/2021,479
7/11/2021,306
7/12/2021,791
7/13/2021,2122
7/14/2021,1952
7/15/2021,8784
7/16/2021,6357
7/17/2021,2140
7/18/2021,9392
7/19/2021,10866
7/20/2021,10781
7/21/2021,5111
7/22/2021,12735
7/23/2021,8522
7/24/2021,6622
7/25/2021,7442
