day,dailySteps
2023-01-14,5619
2023-01-17,9409
2023-01-20,8473
2023-01-30,7741
2023-02-04,7436
2023-02-17,6709
2023-02-25,6691
2023-03-08,5840
2023-03-10,7586
2023-03-25,5930
2023-03-26,5579
2023-03-30,6056
2023-04-03,13163
2023-04-07,5673
2023-04-19,5914
2023-04-23,6421
2023-04-27,6819
2023-05-04,9061
2023-05-06,7328
2023-05-19,10059
2023-05-20,6272
2023-05-21,5736
2023-05-22,5767
2023-05-26,6747
2023-06-03,6910
2023-06-08,5657
2023-06-13,5677
2023-06-25,6389
2023-06-26,15779
2023-06-29,10377
2023-06-30,23743
2023-07-01,11004
2023-07-02,19007
2023-07-03,11774
2023-07-04,5773
2023-07-05,23071
2023-07-06,19344
2023-07-07,20256
2023-07-08,16922
2023-07-11,14407
2023-07-12,11017
2023-07-13,15012
2023-07-15,6270
2023-07-16,6539
2023-07-20,6539
2023-07-26,13525
2023-07-27,7803
2023-07-28,9292
2023-07-29,11467
2023-07-30,5796
2023-07-31,11114
2023-08-01,7882
2023-08-02,7707
2023-08-03,7375
2023-08-04,8617
2023-08-06,16717
2023-08-07,8624
2023-08-08,10802
2023-08-09,9992
2023-08-10,8207
2023-08-11,9249
2023-08-12,6907
2023-08-15,5532
2023-08-18,11369
2023-08-19,7874
2023-08-21,16355
